paper,email,preference
101,alex.carter@northbu.edu,18
101,morgan.lee@northbu.edu,9
101,jordan.kim@lakeviewit.edu,12
101,taylor.brooks@desertstate.edu,-20
102,quinn.hughes@cedarlabs.org,16
102,riley.chen@cedarlabs.org,7
102,casey.nguyen@pinecrestrc.org,11
103,sam.patel@maplecoast.edu,13
103,jamie.rivera@harborcity.edu,6
103,alex.carter@northbu.edu,5
104,morgan.lee@northbu.edu,14
104,riley.chen@cedarlabs.org,10
104,avery.shaw@silveroak.edu,8
104,drew.foster@silveroak.edu,-20
105,quinn.hughes@cedarlabs.org,4
105,jordan.kim@lakeviewit.edu,15
105,sam.patel@maplecoast.edu,9
106,avery.shaw@silveroak.edu,17
106,casey.nguyen@pinecrestrc.org,8
106,jamie.rivera@harborcity.edu,10
