given_name,family_name,email,affiliation,orcid,country,roles,tags,collaborators,follow
Alex,Carter,alex.carter@northbu.edu,Northbridge University,,US,pc,RegRev,,review
Morgan,Lee,morgan.lee@northbu.edu,Northbridge University,,US,pc,RegRev,,review
Jordan,Kim,jordan.kim@lakeviewit.edu,Lakeview Institute of Technology,,CA,pc,RegRev,,review
Taylor,Brooks,taylor.brooks@desertstate.edu,Desert State University,,US,pc,RegRev,,review
Quinn,Hughes,quinn.hughes@cedarlabs.org,Cedar Labs,,GB,pc,RegRev,,review
Riley,Chen,riley.chen@cedarlabs.org,Cedar Labs,,GB,pc,RegRev,,review
Casey,Nguyen,casey.nguyen@pinecrestrc.org,Pinecrest Research Center,,AU,pc,RegRev,,review
Sam,Patel,sam.patel@maplecoast.edu,Maple Coast University,,US,pc,RegRev,,review
Jamie,Rivera,jamie.rivera@harborcity.edu,Harbor City University,,US,pc,RegRev,,review
Avery,Shaw,avery.shaw@silveroak.edu,Silver Oak College,,DE,pc,RegRev,,review
Drew,Foster,drew.foster@silveroak.edu,Silver Oak College,,DE,pc,RegRev,,review
